date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:04:28	33297/33297	---M-Z	200	added ('OK')	text/html	etag:%2261ce9430-8211%22	https://lordsociety.co/presale.html	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/presale.html	(from )
20:04:28	67/67	---M--	200	added ('OK')	text/plain	date:Sun,%2002%20Jan%202022%2001:04:49%20GMT	https://lordsociety.co/robots.txt		(from )
20:04:29	6741/6741	---M-Z	200	added ('OK')	text/css	etag:%2261cd4c36-1a55%22	https://lordsociety.co/cdnjs.cloudflare.com/ajax/libs/toastr.js/latest/toastr.min.css	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/cdnjs.cloudflare.com/ajax/libs/toastr.js/latest/toastr.min.css	(from https://lordsociety.co/presale.html)
20:04:29	2996/2996	---M-Z	200	added ('OK')	text/css	etag:%2261cd4c36-bb4%22	https://lordsociety.co/fonts.css	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts.css	(from https://lordsociety.co/presale.html)
20:04:30	3154/3154	---M-Z	200	added ('OK')	text/html	etag:W/%2261cd4c36-c52%22	https://lordsociety.co/3.html	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/3.html	(from https://lordsociety.co/presale.html)
20:04:30	146/146	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Jan%202022%2001:04:51%20GMT	https://lordsociety.co/pbs.twimg.com/profile_images/1447494549996113927/lGuncivC_400x400.jpg	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/pbs.twimg.com/profile_images/1447494549996113927/lGuncivC_400x400.4.delayed	(from https://lordsociety.co/presale.html)
20:04:31	3154/3154	---M-Z	200	added ('OK')	text/html	etag:%2261cd4c36-c52%22	https://lordsociety.co/logo192.html	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/logo192.html	(from https://lordsociety.co/presale.html)
20:04:32	3154/3154	---M-Z	200	added ('OK')	text/html	etag:%2261cd4c36-c52%22	https://lordsociety.co/manifest.html	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/manifest.html	(from https://lordsociety.co/presale.html)
20:04:33	2272632/2272632	---M--	200	added ('OK')	image/png	etag:%2261cd4c36-22ad78%22	https://lordsociety.co/banner.png	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/banner.png	(from https://lordsociety.co/presale.html)
20:04:33	479445/479445	---M--	200	added ('OK')	image/gif	etag:%2261cd4c36-750d5%22	https://lordsociety.co/gif.gif	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/gif.gif	(from https://lordsociety.co/presale.html)
20:04:33	5537/5537	---M-Z	200	added ('OK')	application/javascript	etag:%2261cd4c36-15a1%22	https://lordsociety.co/cdnjs.cloudflare.com/ajax/libs/toastr.js/latest/toastr.min.js	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/cdnjs.cloudflare.com/ajax/libs/toastr.js/latest/toastr.min.js	(from https://lordsociety.co/presale.html)
20:04:34	1412143/1412143	---M-Z	200	added ('OK')	application/javascript	etag:%2261cd4c35-158c2f%22	https://lordsociety.co/cdn.jsdelivr.net/npm/web3%40latest/dist/web3.min.js	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/cdn.jsdelivr.net/npm/web3@latest/dist/web3.min.js	(from https://lordsociety.co/presale.html)
20:04:35	583/583	---M-Z	200	added ('OK')	text/html	etag:W/%2261cd4c35-247%22	https://lordsociety.co/fonts/satoshi-variable.html	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/satoshi-variable.html	(from https://lordsociety.co/fonts.css)
20:04:35	587/587	---M-Z	200	added ('OK')	text/html	etag:W/%2261cd4c35-24b%22	https://lordsociety.co/fonts/satoshi-variable-2.html	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/satoshi-variable-2.html	(from https://lordsociety.co/fonts.css)
20:04:36	587/587	---M-Z	200	added ('OK')	text/html	etag:W/%2261cd4c35-24b%22	https://lordsociety.co/fonts/satoshi-variable-3.html	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/satoshi-variable-3.html	(from https://lordsociety.co/fonts.css)
20:04:36	595/595	---M-Z	200	added ('OK')	text/html	etag:W/%2261cd4c35-253%22	https://lordsociety.co/fonts/satoshi-variableitalic.html	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/satoshi-variableitalic.html	(from https://lordsociety.co/fonts.css)
20:04:37	599/599	---M-Z	200	added ('OK')	text/html	etag:W/%2261cd4c35-257%22	https://lordsociety.co/fonts/satoshi-variableitalic-2.html	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/satoshi-variableitalic-2.html	(from https://lordsociety.co/fonts.css)
20:04:38	599/599	---M-Z	200	added ('OK')	text/html	etag:W/%2261cd4c35-257%22	https://lordsociety.co/fonts/satoshi-variableitalic-3.html	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/satoshi-variableitalic-3.html	(from https://lordsociety.co/fonts.css)
20:04:38	589/589	---M-Z	200	added ('OK')	text/html	etag:W/%2261cd4c35-24d%22	https://lordsociety.co/fonts/satoshi-lightitalic.html	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/satoshi-lightitalic.html	(from https://lordsociety.co/fonts.css)
20:04:39	593/593	---M-Z	200	added ('OK')	text/html	etag:W/%2261cd4c35-251%22	https://lordsociety.co/fonts/satoshi-lightitalic-2.html	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/satoshi-lightitalic-2.html	(from https://lordsociety.co/fonts.css)
20:04:39	593/593	---M-Z	200	added ('OK')	text/html	etag:W/%2261cd4c35-251%22	https://lordsociety.co/fonts/satoshi-lightitalic-3.html	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/satoshi-lightitalic-3.html	(from https://lordsociety.co/fonts.css)
20:04:40	577/577	---M-Z	200	added ('OK')	text/html	etag:W/%2261cd4c35-241%22	https://lordsociety.co/fonts/satoshi-light.html	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/satoshi-light.html	(from https://lordsociety.co/fonts.css)
20:04:40	581/581	---M-Z	200	added ('OK')	text/html	etag:W/%2261cd4c35-245%22	https://lordsociety.co/fonts/satoshi-light-2.html	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/satoshi-light-2.html	(from https://lordsociety.co/fonts.css)
20:04:41	581/581	---M-Z	200	added ('OK')	text/html	etag:W/%2261cd4c35-245%22	https://lordsociety.co/fonts/satoshi-light-3.html	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/satoshi-light-3.html	(from https://lordsociety.co/fonts.css)
20:04:41	581/581	---M-Z	200	added ('OK')	text/html	etag:W/%2261cd4c35-245%22	https://lordsociety.co/fonts/satoshi-regular.html	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/satoshi-regular.html	(from https://lordsociety.co/fonts.css)
20:04:42	585/585	---M-Z	200	added ('OK')	text/html	etag:W/%2261cd4c35-249%22	https://lordsociety.co/fonts/satoshi-regular-2.html	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/satoshi-regular-2.html	(from https://lordsociety.co/fonts.css)
20:04:43	585/585	---M-Z	200	added ('OK')	text/html	etag:W/%2261cd4c35-249%22	https://lordsociety.co/fonts/satoshi-regular-3.html	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/satoshi-regular-3.html	(from https://lordsociety.co/fonts.css)
20:04:43	579/579	---M-Z	200	added ('OK')	text/html	etag:W/%2261cd4c35-243%22	https://lordsociety.co/fonts/satoshi-italic.html	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/satoshi-italic.html	(from https://lordsociety.co/fonts.css)
20:04:44	583/583	---M-Z	200	added ('OK')	text/html	etag:W/%2261cd4c35-247%22	https://lordsociety.co/fonts/satoshi-italic-2.html	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/satoshi-italic-2.html	(from https://lordsociety.co/fonts.css)
20:04:44	583/583	---M-Z	200	added ('OK')	text/html	etag:W/%2261cd4c35-247%22	https://lordsociety.co/fonts/satoshi-italic-3.html	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/satoshi-italic-3.html	(from https://lordsociety.co/fonts.css)
20:04:45	591/591	---M-Z	200	added ('OK')	text/html	etag:W/%2261cd4c35-24f%22	https://lordsociety.co/fonts/satoshi-mediumitalic.html	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/satoshi-mediumitalic.html	(from https://lordsociety.co/fonts.css)
20:04:46	595/595	---M-Z	200	added ('OK')	text/html	etag:W/%2261cd4c35-253%22	https://lordsociety.co/fonts/satoshi-mediumitalic-2.html	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/satoshi-mediumitalic-2.html	(from https://lordsociety.co/fonts.css)
20:04:46	595/595	---M-Z	200	added ('OK')	text/html	etag:W/%2261cd4c35-253%22	https://lordsociety.co/fonts/satoshi-mediumitalic-3.html	C:/My%20Web%20Sites/idklmaorandomassniggascam/lordsociety.co/fonts/satoshi-mediumitalic-3.html	(from https://lordsociety.co/fonts.css)
